query,location_lat,location_long,location_address
Delhi Delhi India,28.6600584,77.1565959,"Performance Zone India;PTA Coaching Professional Traders Academy | Stock Market Training Institute,Delhi (India), 5;54 First Floor, Shivaji Marg, Patel Nagar Tehsil, West Delhi, Delhi, 110008, India"
Dhanbad Jharkhand India,23.7952809,86.4309638,"Dhanbad, Dhanbad-Cum-Kenduadih-Cum-Jagata, Dhanbad, Jharkhand, 826001, India"
Dibrugarh Assam India,27.4844597,94.9019447,"Dibrugarh, Dibrugarh East, Dibrugarh, Assam, 786001, India"
Dindigul Tamil Nadu  India,10.3303299,78.06739791,"Dindigul, Dindgul District, Tamil Nadu, India"
Dispur Assam India,26.1513079,91.7933805,"Dispur, Kamrup Metropolitan, Assam, India"
Diu Daman and Diu India,20.71817495,70.93238341,"Diu, Dadra and Nagar Haveli and Daman and Diu, India"
Faridabad Haryana India,28.4031478,77.3105561,"Faridabad, Haryana, 121001, India"
Firozabad Uttar Pradesh India,27.17736635,78.38991198,"Firozabad, Uttar Pradesh, India"
Fyzabad Uttar Pradesh India,,,
Gangtok Sikkim India,27.3257569,88.69827695,"Gangtok district, Sikkim, India"
Gaya Bihar India,24.7964355,85.0079563,"Gaya, Gaya Town C.D.Block, Gaya, Bihar, 823001, India"
Ghandinagar Gujarat India,,,
Ghaziabad Uttar Pradesh India,28.6711527,77.4120356,"Ghaziabad, Ghaziabad District, Uttar Pradesh, India"
Gopalpur Uttar Pradesh India,29.1703732,78.61665911,"Gopalpur, Dhampur, Bijnor, Uttar Pradesh, India"
Gulbarga Karnataka India,17.166667,77.083333,"Kalaburagi, Kalaburagi district, Karnataka, India"
Guntur Andhra Pradesh India,16.2915189,80.4541588,"Guntur, Andhra Pradesh, 522001, India"
Gurugram Haryana India,28.4646148,77.0299194,"Gurugram, Haryana, India"
Guwahati Assam India,26.1805978,91.753943,"Guwahati, Kamrup Metropolitan, Assam, 781015, India"
Gwalior Madhya Pradesh India,26.2037247,78.1573628,"Gwalior, Gwalior Tahsil, Gwalior, Madhya Pradesh, 474001, India"
Haldia West Bengal India,22.028124,88.0632655,"Haldia, Purba Medinipur, West Bengal, 721604, India"
Haora West Bengal India,22.5736296,88.3251045,"Haora, Howrah, West Bengal, India"
Hapur Uttar Pradesh India,28.7406125,77.83542557,"Hapur, Uttar Pradesh, India"
Haripur Punjab India,30.5697999,76.5710203,"Haripur, Fatehgarh Sahib Tahsil, Fategarh Sahib, Punjab, 140602, India"
Hata Uttar Pradesh India,26.82890575,83.66789801,"Hata, Kushinagar, Uttar Pradesh, India"
Hindupur Andhra Pradesh India,13.8306127,77.492635,"Hindupur, Sri Sathya Sai, Andhra Pradesh, 515200, India"
Hisar Haryana India,29.08064095,75.78875411,"Hisar, Haryana, India"
Hospet Karnataka India,15.266493,76.3872297,"Hosapete, Hosapete taluk, Vijayanagara district, Karnataka, 583200, India"
Hubli Karnataka India,15.3518378,75.1379848,"Hubballi, Hubballi Taluku, Dharwad district, Karnataka, 580020, India"
Hyderabad Telangana India,17.360589,78.4740613,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India"
Imphal Manipur India,24.7991162,93.9364419,"Imphal, Imphal West, Manipur, 795001, India"
Indore Madhya Pradesh India,22.7665444,75.9006944,"Mahindra Motors, Sagar Automobiles Pvt. Ltd,, Plot No. 8-13, Service Road, Indore, Indore Tahsil, Indore District, Madhya Pradesh, 452001, India"
Itanagar Arunachal Pradesh India,27.0979659,93.6237291,"Itanagar, Itanagar EAC, Papum Pare, Arunachal Pradesh, 791111, India"
Jabalpur Madhya Pradesh India,23.1608938,79.9497702,"Jabalpur, Ranjhi Tahsil, Jabalpur District, Madhya Pradesh, India"
Jaipur Rajasthan India,26.9154576,75.8189817,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India"
Jammu Jammu and Kashmir India,32.7185614,74.8580917,"Jammu, Jammu District, Jammu and Kashmir, 180001, India"
Jamshedpur Jharkhand India,22.8015194,86.2029579,"Jamshedpur, Golmuri-Cum-Jugsalai, Purbi Singhbhum, Jharkhand, 831001, India"
Jhansi Uttar Pradesh India,25.5301308,78.65242146,"Jhansi, Uttar Pradesh, India"
Jodhpur Rajasthan India,26.2967719,73.0351433,"Jodhpur, Jodhpur Tehsil, Jodhpur District, Rajasthan, India"
Jorhat Assam India,26.7577925,94.2079645,"Jorhat, Jorhat East, Jorhat, Assam, 785001, India"
Kagaznagar Andhra Pradesh India,,,
Kakinada Andhra Pradesh India,17.1213126,82.1842248,"Kakinada, Andhra Pradesh, India"
Kalyan Maharashtra India,19.2716301,73.23586553,"Kalyan, Thane, Maharashtra, India"
Karimnagar Telangana India,18.4346438,79.1322648,"Karimnagar, Tower to Post office road, Karimnagar mandal, Karimnagar, Telangana, 505001, India"
Karnal Haryana India,29.6803266,76.9896254,"Karnal, Haryana, 132001, India"
Karur Tamil Nadu  India,10.9301522,78.08485455,"Karur, Karur District, Tamil Nadu, India"
Kavaratti Lakshadweep India,10.55905,72.6365688,"Kavaratti, Lakshadweep, 262240, India"
Khammam Telangana India,17.5,80.333333,"Khammam, Telangana, India"
Khanapur Maharashtra India,17.2912945,74.61520216,"Khanapur, Sangli, Maharashtra, India"
Kochi Kerala India,9.931308,76.2674136,"Kochi, Ernakulam district, Kerala, 682005, India"
